Time,Value
"Jun, 1990",$783.97
"Jul, 1990",$804.44
"Aug, 1990",$868.85
"Sep, 1990",$847.24
"Oct, 1990",$823.92
"Nov, 1990",$824.92
"Dec, 1990",$816.19
"Feb, 1991",$780.54
"Mar, 1991",$778.04
"Apr, 1991",$766.20
"May, 1991",$761.06
"Jun, 1991",$779.97
"Jul, 1991",$780.35
"Aug, 1991",$753.04
"Sep, 1991",$735.09
"Oct, 1991",$754.85
"Nov, 1991",$756.16
"Dec, 1991",$757.18
"Jan, 1992",$742.12
"Feb, 1992",$737.88
"Apr, 1992",$701.04
"May, 1992",$697.69
"Jun, 1992",$703.06
"Jul, 1992",$727.07
"Aug, 1992",$703.16
"Sep, 1992",$707.32
"Oct, 1992",$701.76
"Nov, 1992",$681.90
"Dec, 1992",$682.01
"Jan, 1993",$666.98
"Feb, 1993",$665.21
"Mar, 1993",$664.79
"Apr, 1993",$686.52
"May, 1993",$737.32
"Jul, 1993",$786.37
"Aug, 1993",$754.81
"Sep, 1993",$707.02
"Oct, 1993",$722.97
"Nov, 1993",$741.74
"Dec, 1993",$760.74
"Jan, 1994",$764.23
"Feb, 1994",$752.72
"Mar, 1994",$754.33
"Apr, 1994",$739.87
"May, 1994",$747.82
"Jun, 1994",$753.08
"Jul, 1994",$750.90
"Aug, 1994",$737.98
"Oct, 1994",$753.43
"Nov, 1994",$742.06
"Dec, 1994",$732.35
"Jan, 1995",$728.12
"Feb, 1995",$721.62
"Mar, 1995",$730.54
"Apr, 1995",$743.86
"May, 1995",$731.58
"Jun, 1995",$734.85
"Jul, 1995",$732.22
"Aug, 1995",$725.73
"Sep, 1995",$722.91
"Oct, 1995",$720.89
"Dec, 1995",$729.38
"Jan, 1996",$749.72
"Feb, 1996",$754.85
"Mar, 1996",$735.65
"Apr, 1996",$726.66
"May, 1996",$723.56
"Jun, 1996",$710.40
"Jul, 1996",$706.17
"Aug, 1996",$712.15
"Sep, 1996",$701.47
"Oct, 1996",$695.78
"Nov, 1996",$688.53
"Dec, 1996",$672.60
"Jan, 1997",$642.98
"Mar, 1997",$635.14
"Apr, 1997",$621.34
"May, 1997",$621.43
"Jun, 1997",$614.28
"Jul, 1997",$583.34
"Aug, 1997",$582.59
"Sep, 1997",$579.34
"Oct, 1997",$580.28
"Nov, 1997",$546.93
"Dec, 1997",$517.15
"Jan, 1998",$517.29
"Feb, 1998",$531.32
"Mar, 1998",$527.37
"May, 1998",$531.20
"Jun, 1998",$518.58
"Jul, 1998",$518.97
"Aug, 1998",$502.59
"Sep, 1998",$510.63
"Oct, 1998",$521.72
"Nov, 1998",$518.62
"Dec, 1998",$514.52
"Jan, 1999",$505.24
"Feb, 1999",$505.13
"Mar, 1999",$501.00
"Apr, 1999",$491.76
"May, 1999",$481.01
"Jul, 1999",$444.04
"Aug, 1999",$444.07
"Sep, 1999",$455.88
"Oct, 1999",$534.13
"Nov, 1999",$503.68
"Dec, 1999",$486.31
"Jan, 2000",$487.04
"Feb, 2000",$510.66
"Mar, 2000",$483.71
"Apr, 2000",$472.12
"May, 2000",$463.97
"Jun, 2000",$479.17
"Jul, 2000",$471.10
"Aug, 2000",$459.19
"Oct, 2000",$448.74
"Nov, 2000",$441.84
